Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text
no-rest-just-reps-set-red-light-blue,No Rest Just Reps Set - Red & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Red & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,L,ESA-NRJRS-RED-LIGHT-BLUE-L,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-red-lightblue.png,1,No Rest Just Reps Set - Red & Light Blue
no-rest-just-reps-set-red-light-blue,No Rest Just Reps Set - Red & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Red & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,XL,ESA-NRJRS-RED-LIGHT-BLUE-XL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-red-lightblue.png,1,No Rest Just Reps Set - Red & Light Blue
no-rest-just-reps-set-red-light-blue,No Rest Just Reps Set - Red & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Red & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,2XL,ESA-NRJRS-RED-LIGHT-BLUE-2XL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-red-lightblue.png,1,No Rest Just Reps Set - Red & Light Blue
no-rest-just-reps-set-red-light-blue,No Rest Just Reps Set - Red & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Red & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,3XL,ESA-NRJRS-RED-LIGHT-BLUE-3XL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-red-lightblue.png,1,No Rest Just Reps Set - Red & Light Blue
no-rest-just-reps-set-red-light-blue,No Rest Just Reps Set - Red & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Red & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,4XL,ESA-NRJRS-RED-LIGHT-BLUE-4XL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-red-lightblue.png,1,No Rest Just Reps Set - Red & Light Blue
no-rest-just-reps-set-yellow-red,No Rest Just Reps Set - Yellow & Red,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Yellow & Red.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth XS,ESA-NRJRS-YELLOW-RED-YouthXS,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-yellow-red.png,1,No Rest Just Reps Set - Yellow & Red
no-rest-just-reps-set-yellow-red,No Rest Just Reps Set - Yellow & Red,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Yellow & Red.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth S,ESA-NRJRS-YELLOW-RED-YouthS,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-yellow-red.png,1,No Rest Just Reps Set - Yellow & Red
no-rest-just-reps-set-yellow-red,No Rest Just Reps Set - Yellow & Red,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Yellow & Red.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth M,ESA-NRJRS-YELLOW-RED-YouthM,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-yellow-red.png,1,No Rest Just Reps Set - Yellow & Red
no-rest-just-reps-set-yellow-red,No Rest Just Reps Set - Yellow & Red,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Yellow & Red.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth L,ESA-NRJRS-YELLOW-RED-YouthL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-yellow-red.png,1,No Rest Just Reps Set - Yellow & Red
no-rest-just-reps-set-yellow-red,No Rest Just Reps Set - Yellow & Red,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Yellow & Red.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth XL,ESA-NRJRS-YELLOW-RED-YouthXL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-yellow-red.png,1,No Rest Just Reps Set - Yellow & Red
no-rest-just-reps-set-yellow-red,No Rest Just Reps Set - Yellow & Red,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Yellow & Red.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,S,ESA-NRJRS-YELLOW-RED-S,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-yellow-red.png,1,No Rest Just Reps Set - Yellow & Red
no-rest-just-reps-set-yellow-red,No Rest Just Reps Set - Yellow & Red,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Yellow & Red.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,M,ESA-NRJRS-YELLOW-RED-M,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-yellow-red.png,1,No Rest Just Reps Set - Yellow & Red
